id,name,name_fr,name_ar,category,sub_category,sector,address,lat,lon,phone,website,opening_hours,operator,beds,source,source_url,confidence_score,osm_amenity,osm_healthcare
osm_node_5581425909,,,,pharmacy,,unknown,Avenue 2 Mars شارع 2 مارس,33.5768907,-7.6152125,,,,,,OSM,https://www.openstreetmap.org/node/5581425909,0.7,pharmacy,pharmacy
osm_node_5581601035,Pharmacie Faris,,,pharmacy,,unknown,Boulevard Mohammed VI,33.5662374,-7.5957853,,,,,,OSM,https://www.openstreetmap.org/node/5581601035,0.7,pharmacy,pharmacy
osm_node_5581612579,Pharmacie du Soleil,,,pharmacy,,unknown,Rue Magellan,33.5903669,-7.6040746,,,,,,OSM,https://www.openstreetmap.org/node/5581612579,0.7,pharmacy,pharmacy
osm_node_5581660402,Pharmacie El Farah,,,pharmacy,,unknown,Boulevard Bouchaib Doukkali,33.5683103,-7.5845481,,,,,,OSM,https://www.openstreetmap.org/node/5581660402,0.7,pharmacy,pharmacy
osm_node_5581660407,Pharmacie Ghazali,,,pharmacy,,unknown,,33.5657435,-7.5797457,,,,,,OSM,https://www.openstreetmap.org/node/5581660407,0.7,pharmacy,pharmacy
osm_node_5583278790,Pharmacie Aman,,,pharmacy,,unknown,Rue 17,33.5359704,-7.5770339,,,,,,OSM,https://www.openstreetmap.org/node/5583278790,0.7,pharmacy,pharmacy
osm_node_5583278842,Pharmacie Goumri,,,pharmacy,,unknown,Boulevard Tah,33.5337089,-7.580665,,,,,,OSM,https://www.openstreetmap.org/node/5583278842,0.7,pharmacy,pharmacy
osm_node_5583467519,,,,pharmacy,,unknown,Avenue 2 Mars,33.5506674,-7.6024586,,,,,,OSM,https://www.openstreetmap.org/node/5583467519,0.7,pharmacy,pharmacy
osm_node_5583467934,,,,pharmacy,,unknown,Avenue 2 Mars,33.5479547,-7.602067,,,,,,OSM,https://www.openstreetmap.org/node/5583467934,0.7,pharmacy,pharmacy
osm_node_5583467984,,,,pharmacy,,unknown,Boulevard Tah,33.5313949,-7.5890227,,,,,,OSM,https://www.openstreetmap.org/node/5583467984,0.7,pharmacy,pharmacy
osm_node_5584831651,,,,pharmacy,,unknown,Rue 10,33.5362787,-7.5773883,,,,,,OSM,https://www.openstreetmap.org/node/5584831651,0.7,pharmacy,pharmacy
osm_node_5588875960,Pharmacie Chaab,,,pharmacy,,unknown,,33.5409727,-7.5877997,,,,,,OSM,https://www.openstreetmap.org/node/5588875960,0.7,pharmacy,pharmacy
osm_node_5588875966,Pharmacie Khouloud,,,pharmacy,,unknown,Zanqat 68,33.5395648,-7.5869025,,,,,,OSM,https://www.openstreetmap.org/node/5588875966,0.7,pharmacy,pharmacy
osm_node_5588875982,Jannati Dental Lab,,,dentist,,unknown,,33.5425387,-7.5828966,,,,,,OSM,https://www.openstreetmap.org/node/5588875982,0.7,dentist,dentist
